study_id,title,authors,year,venue,publication_type,doi,official_url,source_file,selection_basis,reconstruction_status,metadata_status
M001,"VIRT-LAB: An AI-Powered System for Flexible, Customizable, and Large-scale Team Simulations","Almutairi, Mohammed; Chiang, Charles; Guo, Haoze; Belcher, Matthew; Banerjee, Nandini; Milkowski, Maria; Volkova, Svitlana; Nguyen, Daniel; Weninger, Tim; Yankoski, Michael G.; Ford, Trenton W.; Gomez-Zara, Diego",2025,"38th Annual ACM Symposium on User Interface Software and Technology, UIST 2025, September 28, 2025  -  October 1, 2025",conference,10.1145/3746058.3758994,https://doi.org/10.1145/3746058.3758994,501-2805.ris,Cited in submitted manuscript,Verified manuscript member,Matched to supplied candidate export (score=100.0)
M002,Aligning Generative AI with Hierarchical K-12 Curricula: A RAG and Multi-Agent Framework for EFL Content Generation,Ran Bao; Jianyong Chen; Yanfen Huang; Sile Liang; Lang Cheng,2026,Interactive Learning Environments,journal,,,manuscript reference list,Cited in submitted manuscript,Verified manuscript member,Transcribed from manuscript reference list
M003,Mind the (Belief) Gap: Group Identity in the World of LLMs,"Borah, Angana; Houalla, Marwa; Mihalcea, Rada",2025,"63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025, July 27, 2025  -  August 1, 2025",conference,10.18653/v1/2025.findings-acl.948,https://doi.org/10.18653/v1/2025.findings-acl.948,501-2805.ris,Cited in submitted manuscript,Verified manuscript member,Matched to supplied candidate export (score=100.0)
M004,How Trust Networks Shape Students’ Opinions About the Proficiency of Artificially Intelligent Assistants,Yutong Bu; Andrew Melatos; Robin Evans,2025,"Physica A: Statistical Mechanics and its Applications, 675:130792",journal,,,manuscript reference list,Cited in submitted manuscript,Verified manuscript member,Transcribed from manuscript reference list
M005,FAIRGAME: A Framework for AI Agents Bias Recognition Using Game Theory,"Buscemi, Alessio; Proverbio, Daniele; Di Stefano, Alessandro; Han, The Anh; Castignani, German; Lio, Pietro",2025,"28th European Conference on Artificial Intelligence, ECAI 2025, including 14th Conference on Prestigious Applications of Intelligent Systems, PAIS 2025, October 25, 2025  -  October 30, 2025",conference,10.3233/FAIA251300,https://doi.org/10.3233/FAIA251300,1-500.ris,Cited in submitted manuscript,Verified manuscript member,Matched to supplied candidate export (score=100.0)
M006,KAQG: A Knowledge-Graph-Enhanced RAG for Difficulty-Controlled Question Generation,Ching Han Chen; Ming Fang Shiu,2025,"IEEE Access, 13:197234–197244",journal,,,manuscript reference list,Cited in submitted manuscript,Verified manuscript member,Transcribed from manuscript reference list
M007,MIND: Towards Immersive Psychological Healing with Multi-Agent Inner Dialogue,"Chen, Yujia; Li, Changsong; Wang, Yiming; Ju, Tianjie; Xiao, Qingqing; Zhang, Nan; Kong, Zifan; Wang, Peng; Yan, Binyu",2025,"30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025, November 4, 2025  -  November 9, 2025",conference,10.18653/v1/2025.findings-emnlp.499,https://doi.org/10.18653/v1/2025.findings-emnlp.499,1-500.ris,Cited in submitted manuscript,Verified manuscript member,Matched to supplied candidate export (score=100.0)
M008,An Empirical Study of Group Conformity in Multi-Agent Systems,"Choi, Min; Kim, Keonwoo; Chae, Sungwon; Baek, Sangyeob",2025,"63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025, July 27, 2025  -  August 1, 2025",conference,10.18653/v1/2025.findings-acl.265,https://doi.org/10.18653/v1/2025.findings-acl.265,1-500.ris,Cited in submitted manuscript,Verified manuscript member,Matched to supplied candidate export (score=100.0)
M009,Simulating Opinion Dynamics with Networks of LLM-based Agents,"Chuang, Yun-Shiuan; Goyal, Agam; Harlalka, Nikunj; Suresh, Siddharth; Hawkins, Robert; Yang, Sijia; Shah, Dhavan; Hu, Junjie; Rogers, Timothy T.",2024,"2024 Findings of the Association for Computational Linguistics: NAACL 2024, June 16, 2024  -  June 21, 2024",conference,10.18653/v1/2024.findings-naacl.211,https://doi.org/10.18653/v1/2024.findings-naacl.211,501-2805.ris,Cited in submitted manuscript,Verified manuscript member,Matched to supplied candidate export (score=100.0)
M010,HYPOTHETICAL MINDS: SCAFFOLDING THEORY OF MIND FOR MULTI-AGENT TASKS WITH LARGE LANGUAGE MODELS,"Cross, Logan; Xiang, Violet; Bhatia, Agam; Yamins, Daniel L.K.; Haber, Nick",2025,"13th International Conference on Learning Representations, ICLR 2025, April 24, 2025  -  April 28, 2025",conference,,,1-500.ris,Cited in submitted manuscript,Verified manuscript member,Matched to supplied candidate export (score=100.0)
M011,The Coupling Effect Between the Environment and Strategies Drives the Emergence of Group Cooperation,Changyan Di; Qingguo Zhou; Jun Shen; Jinqiang Wang; Rui Zhou; Tianyi Wang,2023,"Chaos, Solitons & Fractals, 176:114138",journal,,,manuscript reference list,Cited in submitted manuscript,Verified manuscript member,Transcribed from manuscript reference list
