key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-500197224,Design and Implementation of a Multi-Agent AI-Powered Learning Path Platform for Outcome-Based Engineering Education,2025,,,,,,,126-130,"Qiu, Guangping and Deng, Jizhong and Li, Jincan and Wang, Weixing",,,"Association for Computing Machinery, Inc","Zhujiang College, South China Agricultural University, Guangdong, Guangzhou, China Qingdao, China","The implementation of Outcome-Based Education (OBE) in engineering courses poses practical challenges for supporting diverse learners as they navigate complex competency structures. While traditional teaching often follows a linear path, many students benefit from more adaptive, personalized guidance. To explore how AI might support this process, we developed OBE-Navigator, a multi-agent platform built on the Coze framework and delivered via WeChat Mini Program. The system includes three role-differentiated agents: an AI Tutor Expert, a teacher assistant, and a data analyst. We conducted a mixed-methods usability study with 14 undergraduate students enrolled in a microcontroller course, using think-aloud sessions, System Usability Scale (SUS) questionnaires, and semi-structured interviews. The average SUS score was 74.8 (SD = 9.5), indicating a generally positive user experience. Qualitative analysis revealed that students found value in the learning path recommendations and instant feedback, though some encountered confusion when switching between agents. These findings suggest that multi-agent systems (MAS) can play a supportive role in OBE-aligned learning, especially when attention is paid to interface clarity and user flow. © 2025 Copyright held by the owner/author(s).","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",10.1145/3768421.3768443,Engineering education;Curricula;Education computing;Human computer interaction;Human engineering;Intelligent agents;Learning systems;Multi agent systems;Students;Teaching;Technical presentations;Usability engineering;User interfaces;U2  - Design and implementations;U2  - Education in engineerings;U2  - Learning paths;U2  - Multi agent;U2  - Multi-agent system;U2  - Multiagent systems (MASs);U2  - Outcome-based education;U2  - System usability;U2  - Usability studies,,
rayyan-500197260,MAS-CPS Assessor: A System for Evaluating Collaborative Problem-Solving Skills in Multi-agent Environments,2025,,,,18650929,2590,,269-282,"Chen, Yu and Bao, Jiaqi and He, Yutong and Wu, Bian and Hu, Yiling",,,Springer Science and Business Media Deutschland GmbH,"Department of Education Information Technology, Faculty of Education, East China Normal University, Shanghai; 200062, ChinaSchool of Journalism and Communication, Jinan University, Guangzhou; 510630, China Palermo, Italy","In the context of intelligent technologies empowering learning environments, cultivating students’ collaborative problem-solving (CPS) skills through effective teamwork to address complex tasks has become an integral component of the 21st-century core competencies framework. However, the diagnosis of CPS skills, as the primary step in personalized development, faces numerous challenges. Traditional ""human-to-human"" assessment methods lack sample independence, while ""human-to-computer"" assessment methods, although overcoming this limitation, suffer from issues of unrealistic scenario construction. To address this challenge, this study focuses on the assessment of CPS skills in a human-to-computer collaborative setting, leveraging the superior performance of generative AI in text understanding and reasoning. Based on a multi-agent technology framework and using the PISA 2015 assessment approach as a foundation, this study constructs an agent collaboration environment powered by generative AI technology to simulate highly realistic human-to-human collaborative scenarios. This method aims to accurately evaluate students’ actual levels of collaborative problem-solving skills. From the perspectives of the construction and implementation of multi-agent collaborative scenarios and the measurement of CPS skills, this study provides new ideas and implementation pathways for educational assessment empowered by generative AI. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",10.1007/978-3-031-99261-2_24,Multi agent systems;Collaborative learning;Computer aided instruction;Distributed computer systems;Engineering education;Intelligent agents;Problem solving;Students;U2  - Collaborative problem solving;U2  - Complex task;U2  - Educational assessment;U2  - Intelligent technology;U2  - Language model;U2  - Large language model;U2  - Learning environments;U2  - Multi agent;U2  - Multi-agent environment;U2  - Problem solving skills,,
rayyan-500197261,A multi-agent model of human psychomotor learning in educational spaces,2025,,,,24058971,59,30,347-352,"Alkaddour, Muhannad and Villasanti, Hugo Gonzalez",,,Elsevier B.V.,"University of Michigan, Ann Arbor; MI; 48109, United States Pittsburgh, PA, United states","Control-based adaptive interventions are promising tools to promote equitable psychomotor skill development in classrooms. This work develops a novel multi-agent model tailored for such interventions, where students are represented as agents in a cooperative task involving simultaneous learning and goal achievement. The model's low dimensionality facilitates validation, while its mathematical tractability enables analysis and control-based task design. Two students interacting with a ball-on-plate task are simulated to investigate the sensitivity of inequity and learning outcomes to diversity and collaboration. The results reveal that the outcomes depend nonlinearly on diversity and collaboration, suggesting the need for optimal design of learning tasks. © 2025 The Authors.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",10.1016/j.ifacol.2025.12.261,Learning systems;Adaptive control systems;Cognitive systems;Educational robots;Intelligent agents;Man machine systems;Multi agent systems;Students;U2  - Adaptive;U2  - Cognition modeling;U2  - Control applications;U2  - Educational spaces;U2  - Human-machine;U2  - Human-robot systems;U2  - Multi agent;U2  - Multi-Agent Model;U2  - Networked systems;U2  - Psychomotors,,
rayyan-500197325,Judging with Many Minds: Do More Perspectives Mean Less Prejudice? On Bias Amplification and Resistance in Multi-Agent Based LLM-as-Judge,2025,,,,,,,17356-17392,"Ma, Chiyu and Zhang, Enpei and Zhao, Yilun and Liu, Wenjun and Jia, Yaning and Qing, Peijun and Shi, Lin and Cohan, Arman and Yan, Yujun and Vosoughi, Soroush",,,Association for Computational Linguistics (ACL),"Dartmouth College, Yale University, United States Suzhou, China","LLM-as-Judge has emerged as a scalable alternative to human evaluation, enabling large language models (LLMs) to provide reward signals in trainings. While recent work has explored multi-agent extensions such as multi-agent debate and meta-judging to enhance evaluation quality, the question of how intrinsic biases manifest in these settings remains under-explored. In this study, we conduct a systematic analysis of four diverse bias types: position bias, verbosity bias, chain-of-thought bias, and bandwagon bias. We evaluate these biases across two widely adopted multi-agent LLM-as-Judge frameworks: Multi-Agent-Debate and LLM-as-Meta-Judge. Our results show that debate framework amplifies biases sharply after the initial debate, and this increased bias is sustained in subsequent rounds, while meta-judge approaches exhibit greater resistance. We further investigate the incorporation of PINE, a leading single-agent debiasing method, as a bias-free agent within these systems. The results reveal that this bias-free agent effectively reduces biases in debate settings but provides less benefit in meta-judge scenarios. Our work provides a comprehensive study of bias behavior in multi-agent LLM-as-Judge systems and highlights the need for targeted bias mitigation strategies in collaborative evaluation settings. Our code and experimental data can be found at https://github.com/Henrymachiyu/Multi_Agent_Judge_Bias. ©2025 Association for Computational Linguistics.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",10.18653/v1/2025.findings-emnlp.941,Multi agent systems;Computational linguistics;Computational methods;Intelligent agents;Quality control;U2  - Agent based;U2  - De-biasing;U2  - Free agents;U2  - Human evaluation;U2  - Intrinsic bias;U2  - Language model;U2  - Mitigation strategy;U2  - Multi agent;U2  - Single-agent;U2  - Systematic analysis,,
rayyan-500197333,Multi-agent Modeling of Human-machine Interaction Based on the Operator's Behavioral Profile,2025,,,,,,,257-260,"Kuznetsova, Evgeniya and Rastoropov, Dmitry and Zhevnerchuk, Dmitry and Surkova, Anna",,,Institute of Electrical and Electronics Engineers Inc.,"Nizhny Novgorod State Technical University n.a. R.E. Alekseev, Department of Computer System and Technologies, Nizhny Novgorod, Russia Lipetsk, Russia","The presented work is devoted to multi-agent modeling of computer operator behavior. The use of multi-agent architecture makes it possible not only to emulate various behavioral strategies, but also to systematically study the influence of individual factors related to user behavior on the results of human-machine interaction. The tools developed on the basis of computer operator models can be used both for testing user interfaces (UX testing) and for analyzing risks associated with the human factor in mission-critical applications. The purpose of this work is to create a software prototype for simulating human-machine interaction, taking into account the operator's behavioral profile and conducting experiments aimed at studying the characteristics of various types of operators. The results obtained make it possible to formalize user profiles and offer recommendations for adapting interfaces to their features. © 2025 IEEE.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",10.1109/SUMMA68668.2025.11302218,Multi agent systems;Behavioral research;Human computer interaction;Human engineering;Intelligent agents;Man machine systems;Software prototyping;User profile;U2  - Behavioural profiles;U2  - Component methods;U2  - Computer operator profile;U2  - Computer operators;U2  - Human machine interaction;U2  - Main component method;U2  - Multi-Agent Model;U2  - Multiagent architecture;U2  - Multiagent systems (MASs);U2  - UX testing,,
rayyan-500197344,How Well Can LLMs Negotiate? NEGOTIATIONARENA Platform and Analysis,2024,,,,26403498,235,,3935-3951,"Bianchi, Federico and Chia, Patrick John and Yuksekgonul, Mert and Tagliabue, Jacopo and Jurafsky, Dan and Zou, James",,,ML Research Press,"Stanford University, Stanford; CA, United StatesBauplan, New York; NY, United States Vienna, Austria","Negotiation is the basis of social interactions; humans negotiate everything from the price of cars to how to share common resources. With rapidly growing interest in using large language models (LLMs) to act as agents on behalf of human users, such LLM agents would also need to be able to negotiate. In this paper, we study how well LLMs can negotiate with each other. We develop NEGOTIATIONARENA: a flexible framework for evaluating and probing the negotiation abilities of LLM agents. We implemented three types of scenarios in NEGOTIATIONARENA to assess LLM's behaviors in allocating shared resources (ultimatum games), aggregate resources (trading games) and buy/sell goods (price negotiations). Each scenario allows for multiple turns of flexible dialogues between LLM agents to allow for more complex negotiations. Interestingly, LLM agents can significantly boost their negotiation outcomes by employing certain behavioral tactics. For example, by pretending to be desolate and desperate, LLMs can improve their payoffs by 20% when negotiating against the standard GPT-4. We also quantify irrational negotiation behaviors exhibited by the LLM agents, many of which also appear in humans. Together, NEGOTIATIONARENA offers a new environment to investigate LLM interactions, enabling new insights into LLM's theory of mind, irrationality, and reasoning abilities. Copyright 2024 by the author(s)","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",,Economic and social effects;Computational linguistics;Distributed computer systems;Human engineering;Information management;Resource allocation;U2  - Aggregate resources;U2  - Common resources;U2  - Flexible framework;U2  - Human users;U2  - Language model;U2  - Model agents;U2  - Price negotiations;U2  - Shared resources;U2  - Social interactions;U2  - Ultimatum game,,
rayyan-500197346,Multi-Agent-Based Peer Tutoring in Virtual Learning Environments,2024,,,,,,,,"Gosling, Henning and Dudek, Jacob and Krause, Thorsten and Thomas, Oliver",,,Association for Information Systems,"German Research Center for Artificial Intelligence, Osnabruck, Germany Bangkok, Thailand","Peer tutoring is a collaborative learning approach in which the tutor is attending to a tutee in a one-on-one teaching process. Since education is increasingly moving online, we propose a multi-agent system that dynamically creates tutor-tutee pairs among learners in a virtual learning environment. Our multi-agent system represents learners and instructors. While the instructor agent creates and broadcasts new exercises, the learner agent sequences exercises, evaluates incoming tutoring requests based on their utility value, inserts tutoring requests into the learner's sequence, allows the learner to initiate tutoring requests during an exercise, and allocates these tutoring requests among the other learner agents in the virtual learning environment. Learner agents use the Contract Net Protocol for the allocation of tutoring requests. The inner workings of the learner agent are modeled as a Finite State Machine. Our system is implemented with the JADE framework and demonstrated using a small-scale example. © 2024 International Conference on Information Systems. All Rights Reserved.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",,Multi agent systems;Autonomous agents;Collaborative learning;Computer aided instruction;Distributed computer systems;E-learning;Education computing;Information systems;Information use;Intelligent agents;Learning systems;Teaching;Virtual environments;Virtual reality;U2  - Agent based;U2  - Collaborative learning;U2  - Learner Agent;U2  - Learning approach;U2  - Multi agent;U2  - Multiagent systems (MASs);U2  - Peer tutoring;U2  - Teaching process;U2  - Utility values;U2  - Virtual learning environments,,
rayyan-500197368,"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",2024,,,,0736587X,1,,15202-15231,"Zhang, Zaibin and Zhang, Yongting and Li, Lijun and Gao, Hongzhi and Wang, Lijun and Lu, Huchuan and Zhao, Feng and Qiao, Yu and Shao, Jing",,,Association for Computational Linguistics (ACL),"Shanghai Artificial Intelligence Laboratory, ChinaDalian University of Technology, ChinaUniversity of Science and Technology of China, China Bangkok, Thailand","Multi-agent systems, when enhanced with Large Language Models (LLMs), exhibit profound capabilities in collective intelligence. However, the potential misuse of this intelligence for malicious purposes presents significant risks. To date, comprehensive research on the safety issues associated with multi-agent systems remains limited. In this paper, we explore these concerns through the innovative lens of agent psychology, revealing that the dark psychological states of agents constitute a significant threat to safety. To tackle these concerns, we propose a comprehensive framework (PsySafe) grounded in agent psychology, focusing on three key areas: firstly, identifying how dark personality traits in agents can lead to risky behaviors; secondly, evaluating the safety of multi-agent systems from the psychological and behavioral perspectives, and thirdly, devising effective strategies to mitigate these risks. Our experiments reveal several intriguing phenomena, such as the collective dangerous behaviors among agents, agents' self-reflection when engaging in dangerous behavior, and the correlation between agents' psychological assessments and dangerous behaviors. We anticipate that our framework and observations will provide valuable insights for further research into the safety of multi-agent systems. We make our data and code publicly accessible at https://github.com/AI4Good24/PsySafe. Warning: this paper includes examples that may be offensive or harmful. © 2024 Association for Computational Linguistics.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",10.18653/v1/2024.acl-long.812,Multi agent systems;Computational linguistics;U2  - Collective intelligences;U2  - Comprehensive research;U2  - Language model;U2  - Multiagent systems (MASs);U2  - Personality traits;U2  - Psychological state;U2  - Risky behaviors;U2  - Safety issues;U2  - Self reflection;U2  - System safety,,
rayyan-500197370,Optimizing Educational Program Admissions: LLM Multi-Agent Approach,2025,,,,,3,,2093-2097,"Sanatizadeh, Aida and Tafti, Ali",,,Association for Information Systems,"Northern Illinois University, United StatesUniversity of Illinois Chicago, United States Montreal, QC, Canada","This study proposes a novel Multi-Agent System (MAS) framework powered by large language models to enhance fairness, transparency, and efficiency in graduate admissions. The MAS architecture features specialized agents-including a Diversity, Equity, and Inclusion Agent and personality-calibrated evaluators-that assess applicants holistically while addressing biases stemming from cognitive distortions, reviewer personality traits, and systemic inconsistencies. It integrates human-AI feedback loops, fairness auditing techniques, and explainable decision-making to promote equitable outcomes. This research advances AI-assisted selection processes by operationalizing fairness principles through agent collaboration and adaptive, auditable decision workflows. © Americas Conference on Information Systems, AMCIS 2025.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",,Multi agent systems;Behavioral research;Decision making;Information systems;Information use;Intelligent agents;Transparency;U2  - Educational program;U2  - Explainable artificial intelligence in admission;U2  - Feedback loops;U2  - Language model;U2  - Large language model;U2  - Multi-agent approach;U2  - Multi-agent system architecture;U2  - Multiagent systems (MASs);U2  - Personality traits;U2  - System framework,,
rayyan-500197377,Herding Cats: Assessing Complex Procedural and Tacit Knowledge with Multi-agent Simulations,2024,,,,23673370,1171,,255-264,"Kickmeier-Rust, Michael D. and Pasieka, Manuel and Baumgartner, Matthias",,,Springer Science and Business Media Deutschland GmbH,"St. Gallen University of Teacher Education, St. Gallen, SwitzerlandUniversidad Internacional de la Rioja, Logrono, Spain Salamanca, Spain","Complex procedural knowledge and tacit knowledge are hard to assess and practice constructs. In this paper, we demonstrate the application of autonomous multi-agent simulations to assess teacher’s classroom management skills. We developed a visual virtual environment within which virtual agents mimic students. These agents act and interact autonomously with each other. Human teachers are requested to interfere on the basis of a pre-defined set of actions to optimize the simulated study time and happiness of the agents. This paper presents analyses of systematically configured simulation runs to elucidate the simulation characteristics and to evaluate the rationality and credibility of the simulations. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Compilation and indexing terms, Copyright 2026 Elsevier Inc. | RAYYAN-INCLUSION: {""Zengyi""=>""Included""}",10.1007/978-3-031-73538-7_23,Personnel training;Autonomous agents;Intelligent agents;Intelligent virtual agents;Multi agent systems;Teaching;Virtual environments;U2  - Classroom management;U2  - Human teachers;U2  - Management skills;U2  - Multi-agents simulations;U2  - Procedural knowledge;U2  - Professional training;U2  - Tacit knowledge;U2  - Teacher training;U2  - Teachers';U2  - Virtual agent,,
